=== RESULTADOS DETALHADOS ===
Algoritmo,Grupo,Tamanho,Rodada,Tempo(ns),Tempo(ms),Trocas,Iteracoes
Selection Sort,A,1000,1,2623700,2,62,994,499500
Selection Sort,A,1000,2,1077000,1,08,993,499500
Selection Sort,A,1000,3,1585500,1,59,989,499500
Selection Sort,A,1000,4,1377000,1,38,993,499500
Selection Sort,A,1000,5,970200,0,97,992,499500
Selection Sort,A,10000,1,78704900,78,70,9991,49995000
Selection Sort,A,10000,2,33566500,33,57,9992,49995000
Selection Sort,A,10000,3,33835200,33,84,9988,49995000
Selection Sort,A,10000,4,26708400,26,71,9990,49995000
Selection Sort,A,10000,5,31924400,31,92,9990,49995000
Selection Sort,A,100000,1,2105989300,2105,99,99989,704982704
Selection Sort,A,100000,2,1957065000,1957,07,99987,704982704
Selection Sort,A,100000,3,1960276500,1960,28,99988,704982704
Selection Sort,A,100000,4,1960293600,1960,29,99987,704982704
Selection Sort,A,100000,5,1965070400,1965,07,99984,704982704
Selection Sort,A,500000,1,48946250200,48946,25,499983,445698416
Selection Sort,A,500000,2,49026097700,49026,10,499983,445698416
Selection Sort,A,500000,3,48943059900,48943,06,499980,445698416
Selection Sort,A,500000,4,49052799800,49052,80,499983,445698416
Selection Sort,A,500000,5,48898139300,48898,14,499977,445698416
Selection Sort,A,1000000,1,195554347500,195554,35,999978,1783293664
Selection Sort,A,1000000,2,195557366500,195557,37,999981,1783293664
Selection Sort,A,1000000,3,195508932500,195508,93,999983,1783293664
Selection Sort,A,1000000,4,195525499000,195525,50,999975,1783293664
Selection Sort,A,1000000,5,195434889500,195434,89,999969,1783293664
Merge Sort,B,1000,1,564800,0,56,4327,9976
Merge Sort,B,1000,2,97300,0,10,4347,9976
Merge Sort,B,1000,3,90100,0,09,4309,9976
Merge Sort,B,1000,4,89500,0,09,4317,9976
Merge Sort,B,1000,5,87900,0,09,4307,9976
Merge Sort,B,10000,1,1080400,1,08,59135,133616
Merge Sort,B,10000,2,1072700,1,07,59177,133616
Merge Sort,B,10000,3,1077800,1,08,59012,133616
Merge Sort,B,10000,4,1083900,1,08,59179,133616
Merge Sort,B,10000,5,1068600,1,07,59172,133616
Merge Sort,B,100000,1,10010600,10,01,759722,1668928
Merge Sort,B,100000,2,11476600,11,48,759826,1668928
Merge Sort,B,100000,3,11589200,11,59,760017,1668928
Merge Sort,B,100000,4,11410400,11,41,760079,1668928
Merge Sort,B,100000,5,11639000,11,64,759704,1668928
Merge Sort,B,500000,1,60055200,60,06,4390015,9475712
Merge Sort,B,500000,2,59762100,59,76,4389877,9475712
Merge Sort,B,500000,3,60768600,60,77,4389553,9475712
Merge Sort,B,500000,4,59458900,59,46,4389415,9475712
Merge Sort,B,500000,5,48559800,48,56,4388961,9475712
Merge Sort,B,1000000,1,99279300,99,28,9278593,19951424
Merge Sort,B,1000000,2,99706900,99,71,9280584,19951424
Merge Sort,B,1000000,3,100006600,100,01,9279663,19951424
Merge Sort,B,1000000,4,99468700,99,47,9278165,19951424
Merge Sort,B,1000000,5,100448300,100,45,9280234,19951424
Shell Sort,B,1000,1,447000,0,45,8808,13817
Shell Sort,B,1000,2,434000,0,43,8727,13749
Shell Sort,B,1000,3,415900,0,42,8298,13305
Shell Sort,B,1000,4,437600,0,44,9042,14062
Shell Sort,B,1000,5,440400,0,44,8779,13781
Shell Sort,B,10000,1,933900,0,93,165395,236342
Shell Sort,B,10000,2,925200,0,93,169049,239971
Shell Sort,B,10000,3,916600,0,92,167150,238071
Shell Sort,B,10000,4,701000,0,70,172977,243794
Shell Sort,B,10000,5,680300,0,68,155931,226784
Shell Sort,B,100000,1,7458300,7,46,2889162,3815000
Shell Sort,B,100000,2,7747900,7,75,2736814,3662778
Shell Sort,B,100000,3,7229400,7,23,3204768,4130578
Shell Sort,B,100000,4,7038400,7,04,2923843,3849552
Shell Sort,B,100000,5,7093100,7,09,3011728,3937511
Shell Sort,B,500000,1,42936600,42,94,21330716,26695278
Shell Sort,B,500000,2,43503500,43,50,22472172,27836443
Shell Sort,B,500000,3,42168900,42,17,20258406,25622898
Shell Sort,B,500000,4,45578500,45,58,21999204,27363925
Shell Sort,B,500000,5,42752600,42,75,21107228,26471123
Shell Sort,B,1000000,1,92082300,92,08,49669934,61065425
Shell Sort,B,1000000,2,94380300,94,38,52160073,63555506
Shell Sort,B,1000000,3,92159400,92,16,50002622,61396980
Shell Sort,B,1000000,4,93047000,93,05,51502957,62898103
Shell Sort,B,1000000,5,94821300,94,82,50038383,61433510
Gnome Sort,C,1000,1,3238500,3,24,254177,509344
Gnome Sort,C,1000,2,742400,0,74,258081,517155
Gnome Sort,C,1000,3,1127800,1,13,256783,514560
Gnome Sort,C,1000,4,1141600,1,14,259265,519520
Gnome Sort,C,1000,5,332700,0,33,248565,498121
Gnome Sort,C,10000,1,32468800,32,47,25039117,50088225
Gnome Sort,C,10000,2,33140300,33,14,25508760,51027513
Gnome Sort,C,10000,3,32520300,32,52,25082770,50175529
Gnome Sort,C,10000,4,32195200,32,20,24797484,49604957
Gnome Sort,C,10000,5,32442000,32,44,25016933,50043854
Gnome Sort,C,100000,1,3279392000,3279,39,-1793069588,708928108
Gnome Sort,C,100000,2,3249995300,3250,00,-1803048425,688970436
