=== TEMPO DE EXECUCAO (ms) ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,1,53,0,19,0,43,1,32,
10000,40,95,1,08,0,83,32,55,
100000,1989,74,11,23,7,31,3264,59,
500000,48973,27,57,72,43,39,81343,83,
1000000,195516,21,99,78,93,30,325602,17,

=== NUMERO DE TROCAS ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,992,4321,8731,255374,
10000,9990,59135,166100,25089013,
100000,99987,759870,2953263,-1794379643,
500000,499981,4389564,21433545,-1948180529,
1000000,999977,9279448,50674794,913285748,

=== NUMERO DE ITERACOES ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,499500,9976,13743,511740,
10000,49995000,133616,236992,50188016,
100000,704982704,1668928,3879084,706307999,
500000,445698416,9475712,26797933,399106227,
1000000,1783293664,19951424,62069905,968578029,
